state,county,election_year,election_name,registered_voters,ballots_cast
Georgia,Schley,2010,2010 General Election,2365,1220
Georgia,Screven,2010,2010 General Election,8227,3388
Georgia,Seminole,2010,2010 General Election,5184,2790
Georgia,Spalding,2010,2010 General Election,33627,16944
Georgia,Stephens,2010,2010 General Election,13465,6685
Georgia,Stewart,2010,2010 General Election,2814,1627
Georgia,Sumter,2010,2010 General Election,15127,8399
Georgia,Talbot,2010,2010 General Election,4351,2442
Georgia,Taliaferro,2010,2010 General Election,1330,781
Georgia,Tattnall,2010,2010 General Election,8943,4202
Georgia,Taylor,2010,2010 General Election,4439,2563
Georgia,Telfair,2010,2010 General Election,5783,2804
Georgia,Terrell,2010,2010 General Election,5688,3236
Georgia,Thomas,2010,2010 General Election,24534,13459
Georgia,Tift,2010,2010 General Election,18349,9987
Georgia,Toombs,2010,2010 General Election,12591,6716
Georgia,Towns,2010,2010 General Election,7374,4351
Georgia,Treutlen,2010,2010 General Election,3762,1526
Georgia,Troup,2010,2010 General Election,34089,16145
Georgia,Turner,2010,2010 General Election,4635,2461
Georgia,Twiggs,2010,2010 General Election,5856,3303
Georgia,Union,2010,2010 General Election,13495,8420
Georgia,Upson,2010,2010 General Election,13902,7386
Georgia,Walker,2010,2010 General Election,33155,12487
Georgia,Walton,2010,2010 General Election,47220,25876
Georgia,Ware,2010,2010 General Election,15380,7192
Georgia,Warren,2010,2010 General Election,3219,1822
Georgia,Washington,2010,2010 General Election,10958,5976
Georgia,Wayne,2010,2010 General Election,13685,6794
Georgia,Webster,2010,2010 General Election,1391,955
Georgia,Wheeler,2010,2010 General Election,2997,1399
Georgia,White,2010,2010 General Election,13741,7941
Georgia,Whitfield,2010,2010 General Election,37619,16471
Georgia,Wilcox,2010,2010 General Election,4105,2147
Georgia,Wilkes,2010,2010 General Election,6010,3905
Georgia,Wilkinson,2010,2010 General Election,5582,3490
Georgia,Worth,2010,2010 General Election,11106,6069
