state,county,precinct,election_year,election_name,registered_voters,ballots_cast
Georgia,Appling,1A,2010,2010 General Election,,
Georgia,Appling,1A1,2010,2010 General Election,,
Georgia,Appling,1D,2010,2010 General Election,,
Georgia,Appling,1B,2010,2010 General Election,,
Georgia,Appling,1C,2010,2010 General Election,,
Georgia,Appling,2,2010,2010 General Election,,
Georgia,Appling,3A,2010,2010 General Election,,
Georgia,Appling,3B,2010,2010 General Election,,
Georgia,Appling,3C,2010,2010 General Election,,
Georgia,Appling,4A,2010,2010 General Election,,
Georgia,Appling,4B,2010,2010 General Election,,
Georgia,Appling,4C,2010,2010 General Election,,
Georgia,Appling,4D,2010,2010 General Election,,
Georgia,Appling,5A,2010,2010 General Election,,
Georgia,Appling,5B,2010,2010 General Election,,
Georgia,Appling,5B1,2010,2010 General Election,,
Georgia,Appling,5C,2010,2010 General Election,,
Georgia,Atkinson,Pearson County,2010,2010 General Election,,
Georgia,Atkinson,Axson,2010,2010 General Election,,
Georgia,Atkinson,Willacoochee,2010,2010 General Election,,
Georgia,Atkinson,Pearson City,2010,2010 General Election,,
Georgia,Bacon,Douglas,2010,2010 General Election,,
Georgia,Bacon,New Lacy,2010,2010 General Election,,
Georgia,Bacon,Taylor,2010,2010 General Election,,
Georgia,Bacon,Ware,2010,2010 General Election,,
Georgia,Bacon,Warnock,2010,2010 General Election,,
Georgia,Baker,Anna,2010,2010 General Election,,
Georgia,Baker,Elmodel,2010,2010 General Election,,
Georgia,Baker,Hoggard Mill,2010,2010 General Election,,
Georgia,Baker,Milford,2010,2010 General Election,,
Georgia,Baker,Newton,2010,2010 General Election,,
Georgia,Baldwin,South Milledgeville,2010,2010 General Election,,
Georgia,Baldwin,City Hall Annex,2010,2010 General Election,,
Georgia,Baldwin,Boddie,2010,2010 General Election,,
Georgia,Baldwin,Courthouse,2010,2010 General Election,,
Georgia,Baldwin,Fire Dept,2010,2010 General Election,,
Georgia,Baldwin,North Milledgeville,2010,2010 General Election,,
Georgia,Baldwin,Meriweather,2010,2010 General Election,,
Georgia,Baldwin,East Baldwin,2010,2010 General Election,,
Georgia,Baldwin,Scottsboro,2010,2010 General Election,,
Georgia,Baldwin,North Baldwin,2010,2010 General Election,,
Georgia,Baldwin,West Baldwin,2010,2010 General Election,,
Georgia,Baldwin,East Hardwick,2010,2010 General Election,,
Georgia,Baldwin,West Hardwick,2010,2010 General Election,,
Georgia,Baldwin,Coopers,2010,2010 General Election,,
Georgia,Banks,Anderson,2010,2010 General Election,,
Georgia,Banks,Baldwin,2010,2010 General Election,,
Georgia,Banks,Berlin,2010,2010 General Election,,
Georgia,Banks,Bushville,2010,2010 General Election,,
Georgia,Banks,Columbia,2010,2010 General Election,,
Georgia,Banks,Davids,2010,2010 General Election,,
Georgia,Banks,Golden Hill,2010,2010 General Election,,
Georgia,Banks,Grove River,2010,2010 General Election,,
Georgia,Banks,Hollingsworth,2010,2010 General Election,,
Georgia,Banks,Homer,2010,2010 General Election,,
Georgia,Banks,Poplar Springs,2010,2010 General Election,,
Georgia,Banks,Washington,2010,2010 General Election,,
Georgia,Banks,Wilmonts,2010,2010 General Election,,
Georgia,Barrow,01 Bethlehem Community Center,2010,2010 General Election,,
Georgia,Barrow,02 Bethabra Baptist Church,2010,2010 General Election,,
Georgia,Barrow,03 Bramlett Elementary School,2010,2010 General Election,,
Georgia,Barrow,04 Westside Middle School,2010,2010 General Election,,
Georgia,Barrow,05 Fire Station 1 (Statham),2010,2010 General Election,,
Georgia,Barrow,06 Winder Barrow High School,2010,2010 General Election,,
Georgia,Barrow,07 Statham Elementary School,2010,2010 General Election,,
Georgia,Barrow,08 Holsenbeck Elementary School,2010,2010 General Election,,
Georgia,Barrow,09 Lions Club,2010,2010 General Election,,
Georgia,Barrow,10 Leisure Services Center,2010,2010 General Election,,
Georgia,Barrow,11 Apalachee High School,2010,2010 General Election,,
Georgia,Barrow,12 Midway United Methodist Church,2010,2010 General Election,,
Georgia,Barrow,13 Winder Community Center,2010,2010 General Election,,
Georgia,Barrow,14 Cedar Creek Baptist Church,2010,2010 General Election,,
Georgia,Barrow,15 County Line Elementary School,2010,2010 General Election,,
Georgia,Barrow,16 The Church At Winder,2010,2010 General Election,,
Georgia,Bartow,Adairsville,2010,2010 General Election,,
Georgia,Bartow,Allatoona,2010,2010 General Election,,
Georgia,Bartow,Cartersville East,2010,2010 General Election,,
Georgia,Bartow,Cartersville West,2010,2010 General Election,,
Georgia,Bartow,Beavers Drive,2010,2010 General Election,,
Georgia,Bartow,Center,2010,2010 General Election,,
Georgia,Bartow,Emerson,2010,2010 General Election,,
Georgia,Bartow,Euharlee,2010,2010 General Election,,
Georgia,Bartow,Folsom,2010,2010 General Election,,
Georgia,Bartow,Kingston,2010,2010 General Election,,
Georgia,Bartow,Mission Road,2010,2010 General Election,,
Georgia,Bartow,Pine Log,2010,2010 General Election,,
Georgia,Bartow,Taylorsville,2010,2010 General Election,,
Georgia,Bartow,White,2010,2010 General Election,,
Georgia,Bartow,Zena Drive,2010,2010 General Election,,
Georgia,Bartow,Cassville,2010,2010 General Election,,
Georgia,Bartow,Woodland High,2010,2010 General Election,,
Georgia,Ben Hill,East,2010,2010 General Election,,
Georgia,Ben Hill,West,2010,2010 General Election,,
