state,county,election_year,election_name, registered_voters , ballots_cast 
Georgia,Schley,2006,2006 General Election,2095,866
Georgia,Screven,2006,2006 General Election,7635,3996
Georgia,Seminole,2006,2006 General Election,4838,2016
Georgia,Spalding,2006,2006 General Election,29118,13564
Georgia,Stephens,2006,2006 General Election,12545,6835
Georgia,Stewart,2006,2006 General Election,2957,1098
Georgia,Sumter,2006,2006 General Election,15457,7041
Georgia,Talbot,2006,2006 General Election,4060,1900
Georgia,Taliaferro,2006,2006 General Election,1276,551
Georgia,Tattnall,2006,2006 General Election,8876,4454
Georgia,Taylor,2006,2006 General Election,4447,2013
Georgia,Telfair,2006,2006 General Election,5307,2319
Georgia,Terrell,2006,2006 General Election,5337,2690
Georgia,Thomas,2006,2006 General Election,21581,9827
Georgia,Tift,2006,2006 General Election,16354,8555
Georgia,Toombs,2006,2006 General Election,12011,6349
Georgia,Towns,2006,2006 General Election,6957,3865
Georgia,Treutlen,2006,2006 General Election,3791,1511
Georgia,Troup,2006,2006 General Election,31061,13618
Georgia,Turner,2006,2006 General Election,4071,2059
Georgia,Twiggs,2006,2006 General Election,5703,2689
Georgia,Union,2006,2006 General Election,12369,6996
Georgia,Upson,2006,2006 General Election,14036,5860
Georgia,Walker,2006,2006 General Election,33359,12880
Georgia,Walton,2006,2006 General Election,39338,19319
Georgia,Ware,2006,2006 General Election,14376,6682
Georgia,Warren,2006,2006 General Election,3309,1584
Georgia,Washington,2006,2006 General Election,10710,5478
Georgia,Wayne,2006,2006 General Election,12501,6585
Georgia,Webster,2006,2006 General Election,1367,659
Georgia,Wheeler,2006,2006 General Election,2765,1134
Georgia,White,2006,2006 General Election,12556,6750
Georgia,Whitfield,2006,2006 General Election,36285,17013
Georgia,Wilcox,2006,2006 General Election,3627,2001
Georgia,Wilkes,2006,2006 General Election,5901,2797
Georgia,Wilkinson,2006,2006 General Election,5495,2885
Georgia,Worth,2006,2006 General Election,10037,5030
