state,county,precinct,election_year,election_name,registered_voters,ballots_cast
Georgia,Appling,1B,2014,2014 General Election,1192,526
Georgia,Appling,1C,2014,2014 General Election,784,346
Georgia,Appling,2,2014,2014 General Election,2199,718
Georgia,Appling,3A,2014,2014 General Election,284,149
Georgia,Appling,3A1,2014,2014 General Election,450,227
Georgia,Appling,3B,2014,2014 General Election,329,135
Georgia,Appling,3C,2014,2014 General Election,1297,557
Georgia,Appling,4A,2014,2014 General Election,365,172
Georgia,Appling,4B,2014,2014 General Election,414,246
Georgia,Appling,4C,2014,2014 General Election,407,213
Georgia,Appling,4D,2014,2014 General Election,968,482
Georgia,Appling,5A,2014,2014 General Election,1000,346
Georgia,Appling,5B,2014,2014 General Election,650,246
Georgia,Appling,5C,2014,2014 General Election,343,169
Georgia,Atkinson,Pearson County,2014,2014 General Election,1398,624
Georgia,Atkinson,Axson,2014,2014 General Election,550,248
Georgia,Atkinson,Willacoochee,2014,2014 General Election,1073,598
Georgia,Atkinson,Pearson City,2014,2014 General Election,770,243
Georgia,Bacon,Douglas,2014,2014 General Election,2780,1181
Georgia,Bacon,New Lacy,2014,2014 General Election,873,404
Georgia,Bacon,Taylor,2014,2014 General Election,659,320
Georgia,Bacon,Ware,2014,2014 General Election,427,212
Georgia,Bacon,Warnock,2014,2014 General Election,312,154
Georgia,Baker,Anna,2014,2014 General Election,139,60
Georgia,Baker,Elmodel,2014,2014 General Election,404,181
Georgia,Baker,Hoggard Mill,2014,2014 General Election,300,132
Georgia,Baker,Milford,2014,2014 General Election,272,143
Georgia,Baker,Newton,2014,2014 General Election,952,501
Georgia,Baldwin,South Milledgeville,2014,2014 General Election,947,397
Georgia,Baldwin,City Hall Annex,2014,2014 General Election,797,308
Georgia,Baldwin,Boddie,2014,2014 General Election,1048,367
Georgia,Baldwin,Courthouse,2014,2014 General Election,352,139
Georgia,Baldwin,Fire Dept,2014,2014 General Election,1200,604
Georgia,Baldwin,North Milledgeville,2014,2014 General Election,1643,971
Georgia,Baldwin,Meriweather,2014,2014 General Election,2106,1231
Georgia,Baldwin,East Baldwin,2014,2014 General Election,2902,1643
Georgia,Baldwin,Scottsboro,2014,2014 General Election,815,401
Georgia,Baldwin,North Baldwin,2014,2014 General Election,2750,1652
Georgia,Baldwin,West Baldwin,2014,2014 General Election,1460,834
Georgia,Baldwin,East Hardwick,2014,2014 General Election,977,370
Georgia,Baldwin,West Hardwick,2014,2014 General Election,2404,1178
Georgia,Baldwin,Coopers,2014,2014 General Election,1225,679
Georgia,Banks,Anderson,2014,2014 General Election,977,522
Georgia,Banks,Baldwin,2014,2014 General Election,565,332
Georgia,Banks,Berlin,2014,2014 General Election,258,147
Georgia,Banks,Bushville,2014,2014 General Election,510,261
Georgia,Banks,Columbia,2014,2014 General Election,254,153
Georgia,Banks,Davids,2014,2014 General Election,1159,633
Georgia,Banks,Golden Hill,2014,2014 General Election,609,304
Georgia,Banks,Grove River,2014,2014 General Election,395,225
Georgia,Banks,Hollingsworth,2014,2014 General Election,478,255
Georgia,Banks,Homer,2014,2014 General Election,1004,486
Georgia,Banks,Poplar Springs,2014,2014 General Election,1128,579
Georgia,Banks,Washington,2014,2014 General Election,487,257
Georgia,Banks,Wilmonts,2014,2014 General Election,432,231
Georgia,Barrow,01 Bethlehem Community Center,2014,2014 General Election,2120,1012
Georgia,Barrow,02 Bethabra Baptist Church,2014,2014 General Election,2366,1324
Georgia,Barrow,03 Bramlett Elementary School,2014,2014 General Election,2139,927
Georgia,Barrow,04 Westside Middle School,2014,2014 General Election,1816,816
Georgia,Barrow,05 Fire Station 1 (Statham),2014,2014 General Election,3159,1589
Georgia,Barrow,06 Winder Barrow High School,2014,2014 General Election,1504,729
Georgia,Barrow,07 Statham Elementary School,2014,2014 General Election,1889,949
Georgia,Barrow,08 Holsenbeck Elementary School,2014,2014 General Election,2052,1012
Georgia,Barrow,09 Lions Club,2014,2014 General Election,2332,1271
Georgia,Barrow,10 Leisure Services Center,2014,2014 General Election,1962,755
Georgia,Barrow,11 Apalachee High School,2014,2014 General Election,2074,903
Georgia,Barrow,12 Midway United Methodist Church,2014,2014 General Election,1896,918
Georgia,Barrow,13 Winder Community Center,2014,2014 General Election,1738,824
Georgia,Barrow,14 Cedar Creek Baptist Church,2014,2014 General Election,896,473
Georgia,Barrow,15 County Line Elementary School,2014,2014 General Election,2177,1145
Georgia,Barrow,16 The Church At Winder,2014,2014 General Election,3721,1721
Georgia,Bartow,Adairsville,2014,2014 General Election,4596,2006
Georgia,Bartow,Allatoona,2014,2014 General Election,2816,1171
Georgia,Bartow,Cartersville East,2014,2014 General Election,4633,2080
Georgia,Bartow,Cartersville West,2014,2014 General Election,5254,2673
Georgia,Bartow,Beavers Drive,2014,2014 General Election,3801,1952
Georgia,Bartow,Center,2014,2014 General Election,2730,1388
