state,county,precinct,election_year,election_name,registered_voters,ballots_cast
Georgia,Appling,1A,2006,2006 General Election,222,127
Georgia,Appling,1A1,2006,2006 General Election,226,150
Georgia,Appling,1D,2006,2006 General Election,107,48
Georgia,Appling,1B,2006,2006 General Election,978,541
Georgia,Appling,1C,2006,2006 General Election,645,372
Georgia,Appling,2,2006,2006 General Election,1567,568
Georgia,Appling,3A,2006,2006 General Election,248,117
Georgia,Appling,3B,2006,2006 General Election,314,139
Georgia,Appling,3C,2006,2006 General Election,1187,494
Georgia,Appling,4A,2006,2006 General Election,313,156
Georgia,Appling,4B,2006,2006 General Election,370,186
Georgia,Appling,4C,2006,2006 General Election,327,183
Georgia,Appling,4D,2006,2006 General Election,736,414
Georgia,Appling,5A,2006,2006 General Election,800,338
Georgia,Appling,5B,2006,2006 General Election,312,138
Georgia,Appling,5B1,2006,2006 General Election,138,47
Georgia,Appling,5C,2006,2006 General Election,289,152
Georgia,Atkinson,Pearson County,2006,2006 General Election,1228,563
Georgia,Atkinson,Axson,2006,2006 General Election,491,216
Georgia,Atkinson,Willacoochee,2006,2006 General Election,1074,449
Georgia,Atkinson,Pearson City,2006,2006 General Election,746,272
Georgia,Bacon,Douglas,2006,2006 General Election,2864,1211
Georgia,Bacon,New Lacy,2006,2006 General Election,834,439
Georgia,Bacon,Taylor,2006,2006 General Election,609,344
Georgia,Bacon,Ware,2006,2006 General Election,400,197
Georgia,Bacon,Warnock,2006,2006 General Election,308,179
Georgia,Baker,Anna,2006,2006 General Election,153,78
Georgia,Baker,Elmodel,2006,2006 General Election,260,134
Georgia,Baker,Hoggard Mill,2006,2006 General Election,283,126
Georgia,Baker,Milford,2006,2006 General Election,298,160
Georgia,Baker,Newton,2006,2006 General Election,1155,516
Georgia,Baldwin,South Milledgeville,2006,2006 General Election,995,549
Georgia,Baldwin,City Hall Annex,2006,2006 General Election,644,299
Georgia,Baldwin,Boddie,2006,2006 General Election,692,310
Georgia,Baldwin,Courthouse,2006,2006 General Election,768,315
Georgia,Baldwin,Fire Dept,2006,2006 General Election,1064,632
Georgia,Baldwin,North Milledgeville,2006,2006 General Election,1436,892
Georgia,Baldwin,Meriweather,2006,2006 General Election,1622,969
Georgia,Baldwin,East Baldwin,2006,2006 General Election,2454,1435
Georgia,Baldwin,Scottsboro,2006,2006 General Election,755,364
